"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"78",6,"mhmm",3,500,"19.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.85,0,0.86,97.66
"79",7,"mhmm",3,500,"19.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.02,-0.01,1.72,-0.01,1.74,98.44
"80",8,"mhmm",3,500,"19.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.02,0.01,1.72,0.01,1.74,98.44
"81",9,"mhmm",3,500,"19.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"82",10,"mhmm",3,500,"19.5","dwell_mu_bar_1",19.496,15.95,15.9,1.23,-3.54,18.18,-3.6,18.44,14.06
"83",11,"mhmm",3,500,"19.5","dwell_mu_bar_2",19.496,15.45,15.4,1.26,-4.04,20.74,-4.1,21.01,8.59
"84",12,"mhmm",3,500,"19.5","dwell_mu_bar_3",19.496,15.83,15.77,1.29,-3.67,18.81,-3.73,19.11,15.62
"85",1,"mhmm",3,500,"99.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"86",2,"mhmm",3,500,"99.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.04,0.01,1.52,0.01,1.54,99.22
"87",3,"mhmm",3,500,"99.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.04,-0.01,1.52,-0.01,1.54,99.22
"88",4,"mhmm",3,500,"99.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.51,0.51,0.03,0.01,1.19,0.01,1.2,99.22
"89",5,"mhmm",3,500,"99.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"90",6,"mhmm",3,500,"99.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.49,0.49,0.03,-0.01,1.19,-0.01,1.2,99.22
"91",7,"mhmm",3,500,"99.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.5,0.5,0.03,0,0.02,0,0.03,99.22
