"","model","state","observations","dwell_time","true_average_switches(mean)","MEDHMM_average_switches(mean)","MEDHMM_Proportion_exact_switch_point(mean)","true_average_switches(sd)","MEDHMM_average_switches(sd)","MEDHMM_Proportion_exact_switch_point(sd)","true_average_switches(2.5%)","MEDHMM_average_switches(2.5%)","MEDHMM_Proportion_exact_switch_point(2.5%)","true_average_switches(97.5%)","MEDHMM_average_switches(97.5%)","MEDHMM_Proportion_exact_switch_point(97.5%)"
"st_4_obs_1_dwell_3_mhmm","mhmm","4"," 200","19.5","  8.653906","  8.721973","0.0076272233"," 0.26344622"," 0.2635349","0.086292181","  8.0246875","  8.0975000","0","  9.087500","  9.135312","0.0000000"
"st_4_obs_1_dwell_4_mhmm","mhmm","4"," 200","99.5","  1.189453","  1.265234","0.0308365598"," 0.09810505"," 0.1072075","0.172365821","  1.0250000","  1.0625000","0","  1.397812","  1.472813","0.8107759"
"st_4_obs_2_dwell_1_mhmm","mhmm","4"," 500","1.4","301.494434","301.431934","0.0004074699"," 7.09700776"," 7.0490066","0.004609995","288.7109375","288.3290625","0","315.370000","315.138438","0.0000000"
"st_4_obs_2_dwell_2_mhmm","mhmm","4"," 500","3.5","129.916211","130.771680","0.0000000000"," 3.79925700"," 3.8019423","0.000000000","122.8090625","123.9662500","0","136.478437","137.082500","0.0000000"
"st_4_obs_2_dwell_3_mhmm","mhmm","4"," 500","19.5"," 22.645215"," 22.717285","0.0061098129"," 0.68128837"," 0.6854526","0.049144992"," 21.4756250"," 21.5418750","0"," 24.018125"," 24.068125","0.0000000"
"st_4_obs_2_dwell_4_mhmm","mhmm","4"," 500","99.5","  3.980566","  4.013574","0.1004661660"," 0.17601511"," 0.1732692","0.295241933","  3.5837500","  3.6396875","0","  4.318437","  4.333125","0.9858255"
"st_4_obs_3_dwell_1_mhmm","mhmm","4","1000","1.4","603.766504","603.458496","0.0007119215","13.11421547","13.2433826","0.005713452","579.9381250","579.0678125","0","628.032500","628.491875","0.0000000"
"st_4_obs_3_dwell_2_mhmm","mhmm","4","1000","3.5","261.166309","262.762598","0.0000000000"," 6.77068800"," 6.7863938","0.000000000","245.8484375","247.5303125","0","273.510625","274.916250","0.0000000"
"st_4_obs_3_dwell_3_mhmm","mhmm","4","1000","19.5"," 46.167480"," 46.283301","0.0000000000"," 1.34649529"," 1.3503857","0.000000000"," 43.7275000"," 43.9159375","0"," 48.645000"," 48.705937","0.0000000"
"st_4_obs_3_dwell_4_mhmm","mhmm","4","1000","99.5","  8.578711","  8.589160","0.4459172068"," 0.27416372"," 0.2752610","0.491811338","  8.1375000","  8.1271875","0","  9.157500","  9.159688","0.9902023"
"st_3_obs_2_dwell_5_mhmm","mhmm","3"," 500","mix"," 11.683496"," 11.725000","0.0205155757"," 0.54955676"," 0.5478371","0.091624631"," 10.7146875"," 10.6925000","0"," 12.663438"," 12.674375","0.3066393"
