"model","state","observations","dwell_time","estimates","mean_emp_dwell_true","median_emp_dwell_true","mean_emp_dwell","median_emp_dwell","sd_emp_dwell","ci_025","ci_975","ci_025_true","ci_975_true"
"medhmm",4,200,"1.4","emp_dwell3",1.64663150098057,1.078125,7.51100095367562,6.3203125,5.7024595625677,1,21.340625,1,3.984375
"medhmm",4,200,"1.4","emp_dwell4",1.64068368444214,1.0546875,5.13167024724754,4.54296875,2.52175334532692,2.04296875,11.4712890625,1,3.9765625
"medhmm",4,200,"3.5","emp_dwell1",3.79161419388814,3.109375,4.27771583940681,3.9453125,2.16377867008091,2,9.7890625,1,9.33535156249999
"medhmm",4,200,"3.5","emp_dwell2",3.79501320561032,3.1171875,4.9356291330345,4.1640625,2.53285233622051,2.046875,11.389453125,1,9.3544921875
"medhmm",4,200,"3.5","emp_dwell3",3.79131449716426,3.15625,4.9375936523492,4.140625,2.76607451646513,2,12.03984375,1,9.298828125
"medhmm",4,200,"3.5","emp_dwell4",3.73801306458463,3.0703125,4.30099652219337,3.9375,2.1280618781272,2,9.8197265625,1,9.1412109375
"medhmm",4,200,"19.5","emp_dwell1",20.3019809025978,17.66796875,20.3108805275943,17.69140625,11.8306155727817,5.028125,49.394140625,5.03359375,49.3671875
"medhmm",4,200,"19.5","emp_dwell2",20.284036978506,17.70703125,20.2883181357941,17.703125,11.9694826930865,4.95390625,49.89609375,4.8912109375,49.8705078125
"medhmm",4,200,"19.5","emp_dwell3",20.0514094197213,17.57421875,20.0664332537164,17.578125,11.7066336626837,5.03515625,49.0765625,4.903125,49.0333984375
"medhmm",4,200,"19.5","emp_dwell4",20.1907087211265,17.6953125,20.198949599955,17.7109375,11.8035050356137,5.0283203125,49.1822265625,4.98515625,49.1880859375
"medhmm",4,200,"99.5","emp_dwell1",81.8533794336561,75.748,81.7296862877359,75.632,46.7358933888169,11.9682,185.2946,12.03,185.5184
"medhmm",4,200,"99.5","emp_dwell2",81.5988912013977,74.6,81.504039096531,74.58,46.7474850653543,11.3342,185.5222,11.569,185.5488
"medhmm",4,200,"99.5","emp_dwell3",82.6106293765768,77.136,82.5327413133348,77.112,47.2837050843108,11.2512,185.8722,11.348,185.916
"medhmm",4,200,"99.5","emp_dwell4",82.7515453937027,76.84,82.7288227158168,76.832,46.7709985558238,11.3638,184.576,11.3592,184.5822
"medhmm",4,500,"1.4","emp_dwell1",1.65102586572756,1.1328125,5.18015957987646,4.55859375,2.58519951049281,2.2107421875,11.77421875,1,3.9921875
"medhmm",4,500,"1.4","emp_dwell2",1.65336287211754,1.0859375,7.33262076656977,5.9296875,5.9300036717037,1,22.18046875,1,3.9943359375
"medhmm",4,500,"1.4","emp_dwell3",1.65627512778627,1.09375,7.49234188318984,6.11328125,6.05725969872185,1,23.023828125,1,3.984375
"medhmm",4,500,"1.4","emp_dwell4",1.64949232345529,1.125,5.22788063590904,4.6015625,2.63752496939996,2.125,11.994140625,1,4
"medhmm",4,500,"3.5","emp_dwell1",3.84568772121215,3.171875,4.38108091252798,3.96875,2.22074638070299,2,10.132421875,1,9.442578125
"medhmm",4,500,"3.5","emp_dwell2",3.81240846266636,3.1171875,5.03009834414867,4.3828125,2.5066499574509,1.9107421875,11.3845703125,1,9.4255859375
"medhmm",4,500,"3.5","emp_dwell3",3.79431633096721,3.078125,4.80772510471528,4.0625,2.71553375567564,1.8671875,11.80859375,1.0078125,9.3736328125
"medhmm",4,500,"3.5","emp_dwell4",3.81020286241391,3.171875,4.51557825023319,4.0390625,2.26197967549029,2,10.31953125,1,9.392578125
"medhmm",4,500,"19.5","emp_dwell1",21.0214273323814,18.24609375,21.0251506134365,18.265625,12.1888274414785,5.9373046875,51.80078125,5.9294921875,51.7744140625
"medhmm",4,500,"19.5","emp_dwell2",20.9618362906153,18.20703125,20.9658967122245,18.2109375,12.1148133828439,5.905859375,51.4638671875,5.8986328125,51.4556640625
"medhmm",4,500,"19.5","emp_dwell3",20.8852215283992,18.1171875,20.885843912083,18.125,12.1399747058493,5.8724609375,51.639453125,5.8681640625,51.66484375
"medhmm",4,500,"19.5","emp_dwell4",20.9255128102061,18.1875,20.9319598052504,18.19140625,12.1125673226861,5.9703125,51.3533203125,5.96640625,51.3578125
"medhmm",4,1000,"1.4","emp_dwell1",1.66076600149518,1.1328125,5.18473623069077,4.5703125,2.51686482408194,2.36484375,11.6564453125,1,4.0234375
"medhmm",4,1000,"1.4","emp_dwell2",1.64419690373915,1.0625,7.7859779892278,6.1953125,6.43503379275215,1,24.3224609375,1,3.984375
"medhmm",4,1000,"1.4","emp_dwell3",1.65160636743709,1.125,7.13264168490952,5.6796875,5.91195634828813,1,22.2736328125,1,3.96875
"medhmm",4,1000,"1.4","emp_dwell4",1.65826729223207,1.1328125,5.25367705279676,4.6015625,2.6057090217069,2.2578125,11.908984375,1,4.001953125
"medhmm",4,1000,"19.5","emp_dwell1",21.1677093803386,18.41015625,21.1723507560038,18.4140625,12.0881898213422,6.3078125,51.7662109375,6.275390625,51.7455078125
"medhmm",4,1000,"19.5","emp_dwell2",21.0912133403558,18.30859375,21.0904367503019,18.30859375,12.1727029073913,6.23828125,52.228515625,6.2208984375,52.19921875
"medhmm",4,1000,"19.5","emp_dwell3",21.1141163095009,18.3203125,21.1118455776814,18.31640625,12.1978517964885,6.153515625,52.2328125,6.1541015625,52.2240234375
"medhmm",4,1000,"19.5","emp_dwell4",21.0718158454088,18.3125,21.0742366013987,18.3203125,12.1994007456469,6.1580078125,52.0560546875,6.12734375,52.041796875
"medhmm",4,1000,"99.5","emp_dwell1",101.818628371948,90.99609375,101.822000776742,90.9765625,56.3613382024718,24.7150390625,237.7744140625,24.7046875,237.7787109375
"medhmm",4,1000,"99.5","emp_dwell2",101.453986451281,90.5,101.439849982266,90.48828125,55.7744446472001,25.7931640625,236.4458984375,25.64296875,236.3326171875
"medhmm",4,1000,"99.5","emp_dwell3",101.707919369442,90.39453125,101.708177161911,90.4140625,56.1605281729815,25.3927734375,236.63359375,25.230078125,236.4966796875
"medhmm",4,1000,"99.5","emp_dwell4",102.304150739731,91.3046875,102.297943379034,91.30078125,56.300324037431,25.9986328125,239.3306640625,26.0962890625,239.33046875
"medhmm",3,500,"mix","emp_dwell1",3.98927663077047,3.3984375,4.32387527968643,3.9140625,2.21035107072071,2,10.1064453125,1.0205078125,9.94609375
"medhmm",3,500,"mix","emp_dwell2",21.1621349904447,18.37109375,21.3744612012092,18.39453125,12.8286990872884,5.6869140625,53.610546875,6.1216796875,52.0890625
"medhmm",3,500,"mix","emp_dwell3",87.6540554951719,78.28125,87.8624555824334,78.44921875,49.9290811042518,14.384765625,210.271875,14.322265625,209.0888671875
"mhmm",3,200,"1.4","emp_dwell1",1.62919608457914,1.046875,1.62994574204714,1.03125,0.912934336106178,1,3.9765625,1,3.9484375
"mhmm",3,200,"1.4","emp_dwell2",1.63841919715396,1.0703125,1.63736031793588,1.03125,0.944122673474163,1,4.051953125,1,3.934765625
"mhmm",3,200,"1.4","emp_dwell3",1.63204661313768,1.0546875,1.6342855987387,1.0078125,0.924471242770771,1,4.0583984375,1,3.9638671875
"mhmm",3,200,"3.5","emp_dwell1",3.74497403157557,3.078125,3.72785098227325,3.0703125,2.24185724546776,1,9.48125,1.0078125,9.4064453125
"mhmm",3,200,"3.5","emp_dwell2",3.70947343743172,3.0625,3.66368161653404,3.03125,2.2093713239777,1,9.220703125,1,9.118359375
"mhmm",3,200,"3.5","emp_dwell3",3.74431891220474,3.078125,3.72750427383769,3.0625,2.20355183046533,1,9.2423828125,1,9.22304687499999
"mhmm",3,200,"19.5","emp_dwell1",19.9539876469902,17.4296875,19.8859474438547,17.359375,11.8256171764558,4.5466796875,49.3912109375,4.8763671875,49.4435546875
"mhmm",3,200,"19.5","emp_dwell2",19.7946307068109,17.33984375,19.6724712395147,17.2265625,11.5862563148943,4.469140625,48.105078125,4.869140625,48.2884765625
"mhmm",3,200,"19.5","emp_dwell3",19.7075432855658,17.234375,19.6450458681273,17.234375,11.5628708456796,4.47578125,48.4435546875,4.7443359375,48.456640625
"mhmm",3,200,"99.5","emp_dwell1",81.6373354075046,75.84765625,80.7317718627544,75.21875,46.9462526517779,8.4345703125,186.7767578125,10.796875,186.956640625
"mhmm",3,200,"99.5","emp_dwell2",81.5233733835709,75.28515625,80.0308774511782,74.13671875,47.3026162519445,6.85546875,185.9880859375,9.9443359375,186.925390625
"mhmm",3,200,"99.5","emp_dwell3",83.2649894569886,77.89453125,82.3172628296748,77.328125,46.7181878138492,8.915234375,186.5828125,11.3310546875,186.95625
"mhmm",3,500,"1.4","emp_dwell1",1.63549769788981,1.0625,1.63721999301613,1.0390625,0.921319690372987,1,4.00019531249999,1,3.95253906249999
