"","model","item","state","estimate","median","mean","sd","ci_025","ci_975"
"55","mhmm","dreadnest of day","3","var",564.099211123422,575.048011538146,77.9432743164443,455.620557820494,761.814767592466
"56","mhmm","dreadnest of day","4","var",375.11274709211,384.631965386821,61.6664919203068,296.253485372242,534.238783397653
"57","mhmm","worry","1","var",134.669015747167,138.990540193714,28.9035097248609,98.6921825638591,210.777044317591
"58","mhmm","worry","2","var",434.159658854735,442.604418378416,56.4951520182769,352.980351970642,566.546804154912
"59","mhmm","worry","3","var",544.668657401907,553.861837246527,60.3930366801596,459.078836502735,697.933167116192
"60","mhmm","worry","4","var",363.458942004423,372.518759487752,55.8501452440588,294.912977073861,508.462631575478
"61","mhmm","inadequate","1","var",45.7877042608645,47.5388377796389,11.9342582103788,29.8611650119981,76.1101653598475
"62","mhmm","inadequate","2","var",380.160395625236,390.063850692765,61.0753544893361,300.716889327062,541.798435766148
"63","mhmm","inadequate","3","var",493.926488598523,503.691176678681,66.6365975598036,402.215089864427,653.733379184385
"64","mhmm","inadequate","4","var",353.187768985914,361.953833189071,56.8315351465591,276.619555294289,494.758669688419
"65","mhmm","tired","1","var",433.026600117768,446.732684321104,67.3987357330558,362.692331338714,619.486384884082
"66","mhmm","tired","2","var",638.922033705316,649.037742623498,72.6895570702096,535.521500038594,811.1038386023
"67","mhmm","tired","3","var",478.81329956049,487.606239166854,65.3977787464578,381.619521607449,639.777326542554
"68","mhmm","tired","4","var",363.088563579042,371.806178821404,52.0817858406434,299.455371710932,495.664182232324
"69","mhmm","content","1","var",164.294025601557,169.479300109962,28.9443293560965,129.63851979028,243.438758616339
"70","mhmm","content","2","var",302.472774232749,310.080962609581,44.0126361502272,245.517129283362,421.580428854755
"71","mhmm","content","3","var",287.660852153639,291.421512967472,40.6106525129689,225.228006941097,381.230848038302
"72","mhmm","content","4","var",221.546565863525,226.581320620007,32.6477505662951,178.960334499687,304.661644295184
"73","mhmm","agitated","1","var",34.1395756988691,36.5689148646527,11.6510295184546,21.0558072247706,68.2440686978921
"74","mhmm","agitated","2","var",597.113514064818,607.287148894421,72.3939332568902,496.12801039362,770.7716666565
"75","mhmm","agitated","3","var",597.99615742231,604.188873342994,76.3052570946039,482.239132857627,785.87583457908
"76","mhmm","agitated","4","var",219.345242344439,224.027640479653,47.08472145787,142.125596753482,332.471812998755
"77","mhmm","irritated","1","var",32.6693723486687,34.1032722134275,8.06947265378892,22.617144001213,52.9868186368262
"78","mhmm","irritated","2","var",483.712691620522,495.222661077176,63.116021667708,402.548958373404,643.908326202783
"79","mhmm","irritated","3","var",577.048227844773,588.880824947719,78.9038362028111,471.367502615176,769.606725226358
"80","mhmm","irritated","4","var",311.201110181037,317.703348728952,52.539264465532,239.531735479898,444.423055981716
"81","mhmm","switch and focus","1","var",113.813558384074,119.301186676811,27.6073382453019,84.6284569529472,186.231121916438
"82","mhmm","switch and focus","2","var",384.316456226326,390.016304594818,52.3129461584155,305.999185859353,514.982579105373
"83","mhmm","switch and focus","3","var",351.79793855319,358.412327602239,53.1239683033638,271.09226385559,476.920893151912
"84","mhmm","switch and focus","4","var",90.7922493189271,93.7306301887618,19.0567064661353,66.3738799180479,142.778121539501
"85","mhmm","extremely well","1","var",140.069180344192,147.833413994875,34.4176249399996,104.337550224207,234.010410294576
"86","mhmm","extremely well","2","var",421.49509730675,429.029248415229,63.4419418013255,325.444596740881,580.26822696079
"87","mhmm","extremely well","3","var",144.913019070031,149.397778076554,34.8552583064854,95.542887562286,226.629042683134
"88","mhmm","extremely well","4","var",62.3565193954317,64.0020448650882,11.2479930965792,47.9091941314407,90.3525452802904
"89","mhmm","full of ideas","1","var",117.04303619423,123.761511268547,28.5083630540709,85.2487671462277,196.625744921668
"90","mhmm","full of ideas","2","var",351.710738542517,361.173487709134,58.1904214803877,273.784447595683,499.970209316601
"91","mhmm","full of ideas","3","var",306.446397002681,312.82835717948,53.2988507619536,227.039534610008,438.934611681514
"92","mhmm","full of ideas","4","var",40.8658671214948,41.870007460674,8.13723241000263,30.1916691744443,60.4695415909508
"93","mhmm","thoughts are racing","1","var",95.0010994205447,100.151919445223,25.2467526407183,68.0538747316165,162.825842956839
"94","mhmm","thoughts are racing","2","var",443.026406826476,452.95837274141,62.4183949950925,355.558243896731,593.225680214541
"95","mhmm","thoughts are racing","3","var",456.777983129863,467.20441189158,71.8974324066457,358.558525904808,649.452657710245
"96","mhmm","thoughts are racing","4","var",86.3423458944787,90.2409926903379,22.2428780618346,56.9650759205227,141.546388051967
"97","mhmm","down","1","varmu",63.0824058643883,68.333333249616,25.9719543979344,32.9846360900551,130.684549455605
"98","mhmm","down","2","varmu",225.187788351396,248.344661184484,110.290436029471,101.674996827696,510.485541345506
"99","mhmm","down","3","varmu",312.864018401927,341.334312530564,155.778470758024,136.597745991714,761.961706017813
"100","mhmm","down","4","varmu",642.973644148254,699.939790539164,275.09221649655,344.578374524749,1392.25868654225
"101","mhmm","dreadnest of day","1","varmu",57.2161356958259,62.2270794078118,22.9586359645729,29.6932992571804,121.075673209156
"102","mhmm","dreadnest of day","2","varmu",239.080737533818,260.332606977426,113.231386264832,106.593372274874,538.490189034589
"103","mhmm","dreadnest of day","3","varmu",500.296234909482,550.762908354713,232.47611534473,237.199736853754,1125.74723035415
"104","mhmm","dreadnest of day","4","varmu",696.353041936484,754.989129355768,283.364633828668,355.522470838072,1407.77120212449
"105","mhmm","worry","1","varmu",169.427066061425,183.064644410173,73.1256346979086,85.5928203355431,377.292157614472
"106","mhmm","worry","2","varmu",292.65647796511,322.088859782421,142.479298538174,140.099076628467,700.566556995117
"107","mhmm","worry","3","varmu",286.157621189541,309.975076242636,138.854025375036,120.725521603995,658.709967713805
"108","mhmm","worry","4","varmu",393.582779639241,434.871940677197,184.911882767572,195.73725060639,939.79931255683
"109","mhmm","inadequate","1","varmu",104.308109586616,113.206593313868,42.6288766666245,55.1497915943758,224.155756553689
"110","mhmm","inadequate","2","varmu",503.401737502447,554.412217763891,244.292456839427,247.061370922741,1156.33657792968
"111","mhmm","inadequate","3","varmu",394.720014898463,438.684910593222,208.096921230596,172.034111138934,976.824775993507
"112","mhmm","inadequate","4","varmu",623.220485467528,675.510086959121,260.132785949134,327.319541968824,1308.25075642853
"113","mhmm","tired","1","varmu",266.922179510921,289.81125633793,120.71995461018,124.762030937135,573.705040199005
